id,identifier,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
315,overheat,10,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
316,odor-sleuth,1,,40,,0,10,1,114,,1,17,,,,,0,0,0,0,0,0
317,rock-tomb,6,60,15,95,0,10,2,71,100,6,0,,,,,0,0,0,0,0,100
318,silver-wind,7,60,5,100,0,10,3,141,10,7,0,,,,,0,0,0,0,0,10
319,metal-sound,9,,40,85,0,10,1,63,,2,0,,,,,0,0,0,0,0,0
320,grass-whistle,12,,15,55,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
321,tickle,1,,20,100,0,10,1,206,,2,0,,,,,0,0,0,0,0,0
322,cosmic-power,14,,20,,0,7,1,207,,2,0,,,,,0,0,0,0,0,0
323,water-spout,11,150,5,100,0,11,3,191,,0,0,,,,,0,0,0,0,0,0
324,signal-beam,7,75,15,100,0,10,3,77,10,4,6,,,2,5,0,0,0,10,0,0
325,shadow-punch,8,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
326,extrasensory,14,80,20,100,0,10,3,32,10,0,0,,,,,0,0,0,0,10,0
327,sky-uppercut,2,85,15,90,0,10,2,208,,0,0,,,,,0,0,0,0,0,0
328,sand-tomb,5,35,15,85,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
329,sheer-cold,15,,5,30,0,10,3,39,,9,0,,,,,0,0,0,0,0,0
330,muddy-water,11,90,10,85,0,11,3,74,30,6,0,,,,,0,0,0,0,0,30
331,bullet-seed,12,25,30,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
332,aerial-ace,3,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
333,icicle-spear,15,25,30,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
334,iron-defense,9,,15,,0,7,1,52,,2,0,,,,,0,0,0,0,0,0
335,block,1,,5,,0,10,1,107,,13,0,,,,,0,0,0,0,0,0
336,howl,1,,40,,0,13,1,11,,2,0,,,,,0,0,0,0,0,0
337,dragon-claw,16,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
338,frenzy-plant,12,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
339,bulk-up,2,,20,,0,7,1,209,,2,0,,,,,0,0,0,0,0,0
340,bounce,3,85,5,85,0,10,2,264,30,4,1,,,,,0,0,0,30,0,0
341,mud-shot,5,55,15,95,0,10,3,71,100,6,0,,,,,0,0,0,0,0,100
342,poison-tail,4,50,25,100,0,10,2,210,10,4,5,,,,,0,0,1,10,0,0
343,covet,1,60,25,100,0,10,2,106,,0,0,,,,,0,0,0,0,0,0
344,volt-tackle,13,120,15,100,0,10,2,263,10,4,1,,,,,-33,0,0,10,0,0
345,magical-leaf,12,60,20,,0,10,3,18,,0,0,,,,,0,0,0,0,0,0
346,water-sport,11,,15,,0,12,1,211,,10,0,,,,,0,0,0,0,0,0
347,calm-mind,14,,20,,0,7,1,212,,2,0,,,,,0,0,0,0,0,0
348,leaf-blade,12,90,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
349,dragon-dance,16,,20,,0,7,1,213,,2,0,,,,,0,0,0,0,0,0
350,rock-blast,6,25,10,90,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
351,shock-wave,13,60,20,,0,10,3,18,,0,0,,,,,0,0,0,0,0,0
352,water-pulse,11,60,20,100,0,10,3,77,20,4,6,,,2,5,0,0,0,20,0,0
353,doom-desire,9,140,5,100,0,10,3,149,,13,0,,,,,0,0,0,0,0,0
354,psycho-boost,14,140,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
355,roost,3,,10,,0,7,1,215,,3,0,,,,,0,50,0,0,0,0
356,gravity,14,,5,,0,12,1,216,,10,0,,,,,0,0,0,0,0,0
357,miracle-eye,14,,40,,0,10,1,217,,1,17,,,,,0,0,0,0,0,0
358,wake-up-slap,2,70,10,100,0,10,2,218,,0,0,,,,,0,0,0,0,0,0
359,hammer-arm,2,100,10,90,0,10,2,219,100,7,0,,,,,0,0,0,0,0,100
360,gyro-ball,9,,5,100,0,10,2,220,,0,0,,,,,0,0,0,0,0,0
361,healing-wish,14,,10,,0,7,1,221,,13,0,,,,,0,0,0,0,0,0
362,brine,11,65,10,100,0,10,3,222,,0,0,,,,,0,0,0,0,0,0
363,natural-gift,1,,15,100,0,10,2,223,,0,0,,,,,0,0,0,0,0,0
364,feint,1,30,10,100,2,10,2,224,,0,0,,,,,0,0,0,0,0,0
365,pluck,3,60,20,100,0,10,2,225,,0,0,,,,,0,0,0,0,0,0
366,tailwind,3,,15,,0,4,1,226,,11,0,,,,,0,0,0,0,0,0
367,acupressure,1,,30,,0,5,1,227,,13,0,,,,,0,0,0,0,0,0
368,metal-burst,9,,10,100,0,1,2,228,,0,0,,,,,0,0,0,0,0,0
369,u-turn,7,70,20,100,0,10,2,229,,0,0,,,,,0,0,0,0,0,0
370,close-combat,2,120,5,100,0,10,2,230,100,7,0,,,,,0,0,0,0,0,100
371,payback,17,50,10,100,0,10,2,231,,0,0,,,,,0,0,0,0,0,0
372,assurance,17,60,10,100,0,10,2,232,,0,0,,,,,0,0,0,0,0,0
373,embargo,17,,15,100,0,10,1,233,,1,19,,,5,5,0,0,0,0,0,0
374,fling,17,,10,100,0,10,2,234,,0,0,,,,,0,0,0,0,0,0
375,psycho-shift,14,,10,100,0,10,1,235,,13,0,,,,,0,0,0,0,0,0
376,trump-card,1,,5,,0,10,3,236,,0,0,,,,,0,0,0,0,0,0
377,heal-block,14,,15,100,0,11,1,237,,1,15,,,5,5,0,0,0,0,0,0
378,wring-out,1,,5,100,0,10,3,238,,0,0,,,,,0,0,0,0,0,0
379,power-trick,14,,10,,0,7,1,239,,13,0,,,,,0,0,0,0,0,0
380,gastro-acid,4,,10,100,0,10,1,240,,13,0,,,,,0,0,0,0,0,0
381,lucky-chant,1,,30,,0,4,1,241,,11,0,,,,,0,0,0,0,0,0
382,me-first,1,,20,,0,2,1,242,,0,0,,,,,0,0,0,0,0,0
383,copycat,1,,20,,0,7,1,243,,13,0,,,,,0,0,0,0,0,0
384,power-swap,14,,10,,0,10,1,244,,13,0,,,,,0,0,0,0,0,0
385,guard-swap,14,,10,,0,10,1,245,,13,0,,,,,0,0,0,0,0,0
386,punishment,17,,5,100,0,10,2,246,,0,0,,,,,0,0,0,0,0,0
387,last-resort,1,140,5,100,0,10,2,247,,0,0,,,,,0,0,0,0,0,0
388,worry-seed,12,,10,100,0,10,1,248,,13,0,,,,,0,0,0,0,0,0
389,sucker-punch,17,70,5,100,1,10,2,249,,0,0,,,,,0,0,0,0,0,0
390,toxic-spikes,4,,20,,0,6,1,250,,11,0,,,,,0,0,0,0,0,0
391,heart-swap,14,,10,,0,10,1,251,,13,0,,,,,0,0,0,0,0,0
392,aqua-ring,11,,20,,0,7,1,252,,13,0,,,,,0,0,0,0,0,0
393,magnet-rise,13,,10,,0,7,1,253,,13,0,,,,,0,0,0,0,0,0
394,flare-blitz,10,120,15,100,0,10,2,254,10,4,4,,,,,-33,0,0,10,0,0
395,force-palm,2,60,10,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
396,aura-sphere,2,80,20,,0,10,3,18,,0,0,,,,,0,0,0,0,0,0
397,rock-polish,6,,20,,0,7,1,53,,2,0,,,,,0,0,0,0,0,0
398,poison-jab,4,80,20,100,0,10,2,3,30,4,5,,,,,0,0,0,30,0,0
399,dark-pulse,17,80,15,100,0,10,3,32,20,0,0,,,,,0,0,0,0,20,0
400,night-slash,17,70,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
401,aqua-tail,11,90,10,90,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
402,seed-bomb,12,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
403,air-slash,3,75,15,95,0,10,3,32,30,0,0,,,,,0,0,0,0,30,0
404,x-scissor,7,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
405,bug-buzz,7,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
406,dragon-pulse,16,85,10,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
407,dragon-rush,16,100,10,75,0,10,2,32,20,0,0,,,,,0,0,0,0,20,0
408,power-gem,6,80,20,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
409,drain-punch,2,75,10,100,0,10,2,4,,8,0,,,,,50,0,0,0,0,0
410,vacuum-wave,2,40,30,100,1,10,3,104,,0,0,,,,,0,0,0,0,0,0
411,focus-blast,2,120,5,70,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
412,energy-ball,12,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
413,brave-bird,3,120,15,100,0,10,2,199,,0,0,,,,,-33,0,0,0,0,0
414,earth-power,5,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
415,switcheroo,17,,10,100,0,10,1,178,,13,0,,,,,0,0,0,0,0,0
416,giga-impact,1,150,5,90,0,10,2,81,,0,0,,,,,0,0,0,0,0,0
417,nasty-plot,17,,20,,0,7,1,54,,2,0,,,,,0,0,0,0,0,0
418,bullet-punch,9,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
419,avalanche,15,60,10,100,-4,10,2,186,,0,0,,,,,0,0,0,0,0,0
420,ice-shard,15,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
421,shadow-claw,8,70,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
422,thunder-fang,13,65,15,95,0,10,2,276,10,4,1,,,,,0,0,0,10,10,0
423,ice-fang,15,65,15,95,0,10,2,275,10,4,3,,,,,0,0,0,10,10,0
424,fire-fang,10,65,15,95,0,10,2,274,10,4,4,,,,,0,0,0,10,10,0
425,shadow-sneak,8,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
426,mud-bomb,5,65,10,85,0,10,3,74,30,6,0,,,,,0,0,0,0,0,30
427,psycho-cut,14,70,20,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
428,zen-headbutt,14,80,15,90,0,10,2,32,20,0,0,,,,,0,0,0,0,20,0
429,mirror-shot,9,65,10,85,0,10,3,74,30,6,0,,,,,0,0,0,0,0,30
430,flash-cannon,9,80,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
431,rock-climb,1,90,20,85,0,10,2,77,20,4,6,,,2,5,0,0,0,20,0,0
432,defog,3,,15,,0,10,1,259,,13,0,,,,,0,0,0,0,0,0
433,trick-room,14,,5,,-7,12,1,260,,10,0,,,,,0,0,0,0,0,0
434,draco-meteor,16,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
435,discharge,13,80,15,100,0,9,3,7,30,4,1,,,,,0,0,0,30,0,0
436,lava-plume,10,80,15,100,0,9,3,5,30,4,4,,,,,0,0,0,30,0,0
437,leaf-storm,12,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
438,power-whip,12,120,10,85,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
439,rock-wrecker,6,150,5,90,0,10,2,81,,0,0,,,,,0,0,0,0,0,0
440,cross-poison,4,70,20,100,0,10,2,210,10,4,5,,,,,0,0,1,10,0,0
441,gunk-shot,4,120,5,80,0,10,2,3,30,4,5,,,,,0,0,0,30,0,0
442,iron-head,9,80,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
443,magnet-bomb,9,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
444,stone-edge,6,100,5,80,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
445,captivate,1,,20,100,0,11,1,266,,2,0,,,,,0,0,0,0,0,0
446,stealth-rock,6,,20,,0,6,1,267,,11,0,,,,,0,0,0,0,0,0
447,grass-knot,12,,20,100,0,10,3,197,,0,0,,,,,0,0,0,0,0,0
448,chatter,3,65,20,100,0,10,3,268,100,4,6,,,2,5,0,0,0,100,0,0
449,judgment,1,100,10,100,0,10,3,269,,0,0,,,,,0,0,0,0,0,0
450,bug-bite,7,60,20,100,0,10,2,225,,0,0,,,,,0,0,0,0,0,0
451,charge-beam,13,50,10,90,0,10,3,277,70,7,0,,,,,0,0,0,0,0,70
452,wood-hammer,12,120,15,100,0,10,2,199,,0,0,,,,,-33,0,0,0,0,0
453,aqua-jet,11,40,20,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
454,attack-order,7,90,15,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
455,defend-order,7,,10,,0,7,1,207,,2,0,,,,,0,0,0,0,0,0
456,heal-order,7,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
457,head-smash,6,150,5,80,0,10,2,270,,0,0,,,,,-50,0,0,0,0,0
458,double-hit,1,35,10,90,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
459,roar-of-time,16,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
460,spacial-rend,16,100,5,95,0,10,3,44,,0,0,,,,,0,0,1,0,0,0
461,lunar-dance,14,,10,,0,7,1,271,,13,0,,,,,0,0,0,0,0,0
462,crush-grip,1,,5,100,0,10,2,238,,0,0,,,,,0,0,0,0,0,0
463,magma-storm,10,100,5,75,0,10,3,43,100,4,8,,,5,6,0,0,0,100,0,0
464,dark-void,17,,10,50,0,11,1,2,,1,2,,,2,4,0,0,0,0,0,0
465,seed-flare,12,120,5,85,0,10,3,272,40,6,0,,,,,0,0,0,0,0,40
466,ominous-wind,8,60,5,100,0,10,3,141,10,7,0,,,,,0,0,0,10,0,10
467,shadow-force,8,120,5,100,0,10,2,273,,0,0,,,,,0,0,0,0,0,0
468,hone-claws,17,,15,,0,7,1,278,,2,0,,,,,0,0,0,0,0,0
469,wide-guard,6,,10,,3,4,1,279,,11,0,,,,,0,0,0,0,0,0
470,guard-split,14,,10,,0,10,1,280,,13,0,,,,,0,0,0,0,0,0
471,power-split,14,,10,,0,10,1,281,,13,0,,,,,0,0,0,0,0,0
472,wonder-room,14,,10,,0,12,1,282,,10,0,,,,,0,0,0,0,0,0
473,psyshock,14,80,10,100,0,10,3,283,,0,0,,,,,0,0,0,0,0,0
474,venoshock,4,65,10,100,0,10,3,284,,0,0,,,,,0,0,0,0,0,0
475,autotomize,9,,15,,0,7,1,285,,2,0,,,,,0,0,0,0,0,0
476,rage-powder,7,,20,,2,7,1,173,,13,0,,,,,0,0,0,0,0,0
477,telekinesis,14,,15,,0,10,1,286,,1,-1,,,3,3,0,0,0,0,0,0
478,magic-room,14,,10,,0,12,1,287,,10,0,,,,,0,0,0,0,0,0
479,smack-down,6,50,15,100,0,10,2,288,100,0,-1,,,,,0,0,0,100,0,0
480,storm-throw,2,60,10,100,0,10,2,289,,0,0,,,,,0,0,6,0,0,0
481,flame-burst,10,70,15,100,0,10,3,290,,0,0,,,,,0,0,0,0,0,0
482,sludge-wave,4,95,10,100,0,9,3,3,10,4,5,,,,,0,0,0,10,0,0
483,quiver-dance,7,,20,,0,7,1,291,,2,0,,,,,0,0,0,0,0,0
484,heavy-slam,9,,10,100,0,10,2,292,,0,0,,,,,0,0,0,0,0,0
485,synchronoise,14,120,10,100,0,9,3,293,,0,0,,,,,0,0,0,0,0,0
486,electro-ball,13,,10,100,0,10,3,294,,0,0,,,,,0,0,0,0,0,0
487,soak,11,,20,100,0,10,1,295,,13,0,,,,,0,0,0,0,0,0
488,flame-charge,10,50,20,100,0,10,2,296,100,7,0,,,,,0,0,0,0,0,100
489,coil,4,,20,,0,7,1,323,,2,0,,,,,0,0,0,0,0,0
490,low-sweep,2,65,20,100,0,10,2,21,100,6,0,,,,,0,0,0,0,0,100
491,acid-spray,4,40,20,100,0,10,3,297,100,6,0,,,,,0,0,0,0,0,100
492,foul-play,17,95,15,100,0,10,2,298,,0,0,,,,,0,0,0,0,0,0
493,simple-beam,1,,15,100,0,10,1,299,,13,0,,,,,0,0,0,0,0,0
494,entrainment,1,,15,100,0,10,1,300,,13,0,,,,,0,0,0,0,0,0
495,after-you,1,,15,,0,10,1,301,,13,0,,,,,0,0,0,0,0,0
496,round,1,60,15,100,0,10,3,302,,0,0,,,,,0,0,0,0,0,0
497,echoed-voice,1,40,15,100,0,10,3,303,,0,0,,,,,0,0,0,0,0,0
498,chip-away,1,70,20,100,0,10,2,304,,0,0,,,,,0,0,0,0,0,0
499,clear-smog,4,50,15,,0,10,3,305,,0,0,,,,,0,0,0,0,0,0
500,stored-power,14,20,10,100,0,10,3,306,,0,0,,,,,0,0,0,0,0,0
501,quick-guard,2,,15,,3,4,1,307,,11,0,,,,,0,0,0,0,0,0
502,ally-switch,14,,15,,2,7,1,308,,13,0,,,,,0,0,0,0,0,0
503,scald,11,80,15,100,0,10,3,5,30,4,4,,,,,0,0,0,30,0,0
504,shell-smash,1,,15,,0,7,1,309,,13,0,,,,,0,0,0,0,0,0
505,heal-pulse,14,,10,,0,10,1,310,,3,0,,,,,0,50,0,0,0,0
506,hex,8,65,10,100,0,10,3,311,,0,0,,,,,0,0,0,0,0,0
507,sky-drop,3,60,10,100,0,10,2,312,,0,0,,,,,0,0,0,0,0,0
508,shift-gear,9,,10,,0,7,1,313,,2,0,,,,,0,0,0,0,0,0
509,circle-throw,2,60,10,90,-6,10,2,314,,0,0,,,,,0,0,0,0,0,0
510,incinerate,10,60,15,100,0,11,3,315,,0,0,,,,,0,0,0,0,0,0
511,quash,17,,15,100,0,10,1,316,,13,0,,,,,0,0,0,0,0,0
512,acrobatics,3,55,15,100,0,10,2,318,,0,0,,,,,0,0,0,0,0,0
513,reflect-type,1,,15,,0,10,1,319,,13,0,,,,,0,0,0,0,0,0
514,retaliate,1,70,5,100,0,10,2,320,,0,0,,,,,0,0,0,0,0,0
515,final-gambit,2,,5,100,0,10,3,321,,0,0,,,,,0,0,0,0,0,0
516,bestow,1,,15,,0,10,1,324,,13,0,,,,,0,0,0,0,0,0
517,inferno,10,100,5,50,0,10,3,5,100,4,4,,,,,0,0,0,100,0,0
518,water-pledge,11,80,10,100,0,10,3,325,,0,0,,,,,0,0,0,0,0,0
519,fire-pledge,10,80,10,100,0,10,3,326,,0,0,,,,,0,0,0,0,0,0
520,grass-pledge,12,80,10,100,0,10,3,327,,0,0,,,,,0,0,0,0,0,0
521,volt-switch,13,70,20,100,0,10,3,229,,0,0,,,,,0,0,0,0,0,0
522,struggle-bug,7,50,20,100,0,11,3,72,100,6,0,,,,,0,0,0,0,0,100
523,bulldoze,5,60,20,100,0,9,2,71,100,6,0,,,,,0,0,0,0,0,100
524,frost-breath,15,60,10,90,0,10,3,289,100,0,0,,,,,0,0,6,100,0,0
525,dragon-tail,16,60,10,90,-6,10,2,314,,0,0,,,,,0,0,0,0,0,0
526,work-up,1,,30,,0,7,1,328,,2,0,,,,,0,0,0,0,0,0
527,electroweb,13,55,15,95,0,11,3,21,100,6,0,,,,,0,0,0,0,0,100
528,wild-charge,13,90,15,100,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
529,drill-run,5,80,10,95,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
530,dual-chop,16,40,15,90,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
531,heart-stamp,14,60,25,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
532,horn-leech,12,75,10,100,0,10,2,4,,8,0,,,,,50,0,0,0,0,0
533,sacred-sword,2,90,15,100,0,10,2,304,,0,0,,,,,0,0,0,0,0,0
534,razor-shell,11,75,10,95,0,10,2,70,50,6,0,,,,,0,0,0,0,0,50
535,heat-crash,10,,10,100,0,10,2,292,,0,0,,,,,0,0,0,0,0,0
536,leaf-tornado,12,65,10,90,0,10,3,74,50,6,0,,,,,0,0,0,0,0,50
537,steamroller,7,65,20,100,0,10,2,151,30,0,0,,,,,0,0,0,0,30,0
538,cotton-guard,12,,10,,0,7,1,329,,2,0,,,,,0,0,0,0,0,0
539,night-daze,17,85,10,95,0,10,3,74,40,6,0,,,,,0,0,0,0,0,40
540,psystrike,14,100,10,100,0,10,3,283,,0,0,,,,,0,0,0,0,0,0
541,tail-slap,1,25,10,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
542,hurricane,3,110,10,70,0,10,3,334,30,4,6,,,2,5,0,0,0,30,0,0
543,head-charge,1,120,15,100,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
544,gear-grind,9,50,15,85,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
545,searing-shot,10,100,5,100,0,9,3,5,30,4,4,,,,,0,0,0,30,0,0
546,techno-blast,1,120,5,100,0,10,3,269,,0,0,,,,,0,0,0,0,0,0
547,relic-song,1,75,10,100,0,11,3,330,10,4,2,,,2,4,0,0,0,10,0,0
548,secret-sword,2,85,10,100,0,10,3,283,,0,0,,,,,0,0,0,0,0,0
549,glaciate,15,65,10,95,0,11,3,331,100,6,0,,,,,0,0,0,0,0,100
550,bolt-strike,13,130,5,85,0,10,2,7,20,4,1,,,,,0,0,0,20,0,0
551,blue-flare,10,130,5,85,0,10,3,5,20,4,4,,,,,0,0,0,20,0,0
552,fiery-dance,10,80,10,100,0,10,3,277,50,7,0,,,,,0,0,0,0,0,50
553,freeze-shock,15,140,5,90,0,10,2,332,30,4,1,,,,,0,0,0,30,0,0
554,ice-burn,15,140,5,90,0,10,3,333,30,4,4,,,,,0,0,0,30,0,0
555,snarl,17,55,15,95,0,11,3,72,100,6,0,,,,,0,0,0,0,0,100
556,icicle-crash,15,85,10,90,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
557,v-create,10,180,5,95,0,10,2,335,100,7,0,,,,,0,0,0,0,0,100
558,fusion-flare,10,100,5,100,0,10,3,336,,0,0,,,,,0,0,0,0,0,0
559,fusion-bolt,13,100,5,100,0,10,2,337,,0,0,,,,,0,0,0,0,0,0
560,flying-press,2,100,10,95,0,10,2,338,,0,0,,,,,0,0,0,0,0,0
561,mat-block,2,,10,,0,4,1,377,,11,0,,,,,0,0,0,0,0,0
562,belch,4,120,10,90,0,10,3,339,,0,0,,,,,0,0,0,0,0,0
563,rototiller,5,,10,,0,14,1,340,100,2,0,,,,,0,0,0,0,0,100
564,sticky-web,7,,20,,0,6,1,341,,11,0,,,,,0,0,0,0,0,0
565,fell-stinger,7,50,25,100,0,10,2,342,,0,0,,,,,0,0,0,0,0,0
566,phantom-force,8,90,10,100,0,10,2,273,,0,0,,,,,0,0,0,0,0,0
567,trick-or-treat,8,,20,100,0,10,1,343,,13,0,,,,,0,0,0,0,0,0
568,noble-roar,1,,30,100,0,10,1,344,100,2,0,,,,,0,0,0,0,0,100
569,ion-deluge,13,,25,,1,12,1,345,,10,0,,,,,0,0,0,0,0,0
570,parabolic-charge,13,65,20,100,0,9,3,346,,8,0,,,,,50,0,0,0,0,0
571,forests-curse,12,,20,100,0,10,1,376,,13,0,,,,,0,0,0,0,0,0
572,petal-blizzard,12,90,15,100,0,9,2,379,,0,0,,,,,0,0,0,0,0,0
573,freeze-dry,15,70,20,100,0,10,3,380,10,4,3,,,,,0,0,0,10,0,0
574,disarming-voice,18,40,15,,0,11,3,381,,0,0,,,,,0,0,0,0,0,0
575,parting-shot,17,,20,100,0,10,1,347,100,2,0,,,,,0,0,0,0,0,100
576,topsy-turvy,17,,20,,0,10,1,348,,13,0,,,,,0,0,0,0,0,0
577,draining-kiss,18,50,10,100,0,10,3,349,,8,0,,,,,75,0,0,0,0,0
578,crafty-shield,18,,10,,3,4,1,350,,11,0,,,,,0,0,0,0,0,0
579,flower-shield,18,,10,,0,14,1,351,100,13,0,,,,,0,0,0,0,0,100
580,grassy-terrain,12,,10,,0,12,1,352,,10,0,,,,,0,0,0,0,0,0
581,misty-terrain,18,,10,,0,12,1,353,,10,0,,,,,0,0,0,0,0,0
582,electrify,13,,20,,0,10,1,354,,13,0,,,,,0,0,0,0,0,0
583,play-rough,18,90,10,90,0,10,2,69,10,6,0,,,,,0,0,0,0,0,10
584,fairy-wind,18,40,30,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
585,moonblast,18,95,15,100,0,10,3,72,30,6,0,,,,,0,0,0,0,0,30
586,boomburst,1,140,10,100,0,9,3,379,,0,0,,,,,0,0,0,0,0,0
587,fairy-lock,18,,10,,0,12,1,355,,10,0,,,,,0,0,0,0,0,0
588,kings-shield,9,,10,,4,7,1,356,,13,0,,,,,0,0,0,0,0,0
589,play-nice,1,,20,,0,10,1,357,100,2,0,,,,,0,0,0,0,0,100
590,confide,1,,20,,0,10,1,358,100,2,0,,,,,0,0,0,0,0,100
591,diamond-storm,6,100,5,95,0,11,2,359,50,7,0,,,,,0,0,0,0,0,50
592,steam-eruption,11,110,5,95,0,10,3,5,30,4,4,,,,,0,0,0,30,0,0
593,hyperspace-hole,14,80,5,,0,10,3,360,,0,0,,,,,0,0,0,0,0,0
594,water-shuriken,11,15,20,100,1,10,3,361,,0,0,2,5,,,0,0,0,0,0,0
595,mystical-fire,10,75,10,100,0,10,3,72,100,6,0,,,,,0,0,0,0,0,100
596,spiky-shield,12,,10,,4,7,1,362,,13,0,,,,,0,0,0,0,0,0
597,aromatic-mist,18,,20,,0,3,1,363,,2,0,,,,,0,0,0,0,0,0
598,eerie-impulse,13,,15,100,0,10,1,62,,2,0,,,,,0,0,0,0,0,0
599,venom-drench,4,,20,100,0,11,1,364,100,2,0,,,,,0,0,0,0,0,100
600,powder,7,,20,100,1,10,1,378,,13,0,,,,,0,0,0,0,0,0
601,geomancy,18,,10,,0,7,1,366,,2,0,,,,,0,0,0,0,0,0
602,magnetic-flux,13,,20,,0,13,1,367,,2,0,,,,,0,0,0,0,0,0
603,happy-hour,1,,30,,0,4,1,368,,13,0,,,,,0,0,0,0,0,0
604,electric-terrain,13,,10,,0,12,1,369,,10,0,,,,,0,0,0,0,0,0
605,dazzling-gleam,18,80,10,100,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
606,celebrate,1,,40,,0,7,1,370,,13,0,,,,,0,0,0,0,0,0
607,hold-hands,1,,40,,0,3,1,371,,13,0,,,,,0,0,0,0,0,0
608,baby-doll-eyes,18,,30,100,1,10,1,365,,2,0,,,,,0,0,0,0,0,0
609,nuzzle,13,20,20,100,0,10,2,372,100,4,1,,,,,0,0,0,100,0,0
610,hold-back,1,40,40,100,0,10,2,102,,0,0,,,,,0,0,0,0,0,0
611,infestation,7,20,20,100,0,10,3,43,100,4,8,,,5,6,0,0,0,100,0,0
612,power-up-punch,2,40,20,100,0,10,2,375,100,7,0,,,,,0,0,0,0,0,100
613,oblivion-wing,3,80,10,100,0,10,3,349,,8,0,,,,,75,0,0,0,0,0
614,thousand-arrows,5,90,10,100,0,11,2,373,100,0,-1,,,,,0,0,0,100,0,0
615,thousand-waves,5,90,10,100,0,11,2,374,,0,0,,,,,0,0,0,0,0,0
616,lands-wrath,5,90,10,100,0,11,2,1,,0,0,,,,,0,0,0,0,0,0
617,light-of-ruin,18,140,5,90,0,10,3,270,,0,0,,,,,-50,0,0,0,0,0
618,origin-pulse,11,110,10,85,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
619,precipice-blades,5,120,10,85,0,11,2,1,,0,0,,,,,0,0,0,0,0,0
620,dragon-ascent,3,120,5,100,0,10,2,230,100,7,0,,,,,0,0,0,0,0,100
621,hyperspace-fury,17,100,5,,0,10,2,360,100,7,0,,,,,0,0,0,0,0,100
622,breakneck-blitz--physical,1,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
623,breakneck-blitz--special,1,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
